Cycle,Command,Bank,Row
11974,REFRESH,0,0
12496,ACTIVATE,0,0
12539,WRITE,0,0
12548,READ,0,0
12568,WRITE,0,0
12661,READ,0,0
12697,PRECHARGE,0,0
12715,ACTIVATE,0,0
12753,WRITE,0,0
12786,PRECHARGE,0,0
12803,REFRESH,0,0
13271,ACTIVATE,0,0
13293,WRITE,0,0
13311,PRECHARGE,0,0
13347,ACTIVATE,0,0
13365,READ,0,0
13395,PRECHARGE,0,0
13416,REFRESH,0,0
13843,ACTIVATE,0,0
13874,WRITE,0,0
13880,WRITE,0,0
13899,WRITE,0,0
13921,WRITE,0,0
13948,WRITE,0,0
13990,WRITE,0,0
14061,WRITE,0,0
14083,WRITE,0,0
14099,READ,0,0
14116,READ,0,0
14133,WRITE,0,0
14151,READ,0,0
14214,READ,0,0
14243,READ,0,0
14261,PRECHARGE,0,0
14294,ACTIVATE,0,0
14339,PRECHARGE,0,0
14368,ACTIVATE,0,0
14395,WRITE,0,0
14418,WRITE,0,0
14432,WRITE,0,0
14465,PRECHARGE,0,0
14493,REFRESH,0,0
14953,REFRESH,0,0
15377,REFRESH,0,0
15817,REFRESH,0,0
16237,ACTIVATE,0,0
16262,WRITE,0,0
16277,READ,0,0
16300,WRITE,0,0
16313,WRITE,0,0
16331,WRITE,0,0
16351,READ,0,0
16372,WRITE,0,0
16390,WRITE,0,0
16398,WRITE,0,0
16426,PRECHARGE,0,0
16454,ACTIVATE,0,0
16496,READ,0,0
16513,WRITE,0,0
16613,PRECHARGE,0,0
16658,REFRESH,0,0
17080,ACTIVATE,0,0
17110,READ,0,0
17121,READ,0,0
17140,READ,0,0
17180,PRECHARGE,0,0
17231,REFRESH,0,0
17668,ACTIVATE,0,0
17713,WRITE,0,0
17736,WRITE,0,0
17763,WRITE,0,0
17770,WRITE,0,0
17779,READ,0,0
17790,READ,0,0
17813,PRECHARGE,0,0
17843,ACTIVATE,0,0
17867,READ,0,0
17900,WRITE,0,0
17928,READ,0,0
17960,PRECHARGE,0,0
17978,REFRESH,0,0
18398,REFRESH,0,0
18840,REFRESH,0,0
19262,REFRESH,0,0
19705,REFRESH,0,0
20163,REFRESH,0,0
20595,REFRESH,0,0
21017,REFRESH,0,0
21444,ACTIVATE,0,0
21486,WRITE,0,0
21505,WRITE,0,0
21516,READ,0,0
21535,WRITE,0,0
21570,READ,0,0
21594,PRECHARGE,0,0
21647,ACTIVATE,0,0
21673,WRITE,0,0
21709,WRITE,0,0
21724,READ,0,0
21734,READ,0,0
21749,READ,0,0
21758,READ,0,0
21776,PRECHARGE,0,0
21803,REFRESH,0,0
22257,ACTIVATE,0,0
22288,WRITE,0,0
22307,WRITE,0,0
22351,WRITE,0,0
22369,PRECHARGE,0,0
22425,REFRESH,0,0
22873,ACTIVATE,0,0
22909,WRITE,0,0
22926,WRITE,0,0
22955,READ,0,0
22969,READ,0,0
22991,PRECHARGE,0,0
23028,ACTIVATE,0,0
23064,READ,0,0
23091,PRECHARGE,0,0
23111,ACTIVATE,0,0
23137,READ,0,0
23154,WRITE,0,0
23177,WRITE,0,0
23193,READ,0,0
23202,READ,0,0
23222,PRECHARGE,0,0
23264,ACTIVATE,0,0
23287,WRITE,0,0
23303,WRITE,0,0
23325,PRECHARGE,0,0
23342,REFRESH,0,0
23808,REFRESH,0,0
24229,REFRESH,0,0
24652,REFRESH,0,0
25097,REFRESH,0,0
25517,ACTIVATE,0,0
25545,WRITE,0,0
25563,READ,0,0
25584,WRITE,0,0
25592,WRITE,0,0
25627,PRECHARGE,0,0
25665,REFRESH,0,0
26086,REFRESH,0,0
26506,REFRESH,0,0
26951,REFRESH,0,0
27377,REFRESH,0,0
27801,REFRESH,0,0
28244,REFRESH,0,0
28673,REFRESH,0,0
29094,REFRESH,0,0
29516,ACTIVATE,0,0
29542,READ,0,0
29553,READ,0,0
29571,PRECHARGE,0,0
29637,ACTIVATE,0,0
29669,WRITE,0,0
29716,READ,0,0
29734,PRECHARGE,0,0
29781,ACTIVATE,0,0
29824,WRITE,0,0
29845,WRITE,0,0
29876,PRECHARGE,0,0
29922,REFRESH,0,0
30377,ACTIVATE,0,0
30401,WRITE,0,0
30416,READ,0,0
30447,WRITE,0,0
30454,WRITE,0,0
30481,WRITE,0,0
30508,WRITE,0,0
30520,WRITE,0,0
30537,READ,0,0
30564,PRECHARGE,0,0
30588,REFRESH,0,0
31038,ACTIVATE,0,0
31055,WRITE,0,0
31067,WRITE,0,0
31081,READ,0,0
31100,PRECHARGE,0,0
31134,ACTIVATE,0,0
31157,READ,0,0
31185,READ,0,0
31239,PRECHARGE,0,0
31268,REFRESH,0,0
31730,ACTIVATE,0,0
31769,WRITE,0,0
31827,PRECHARGE,0,0
31852,REFRESH,0,0
32291,ACTIVATE,0,0
32328,WRITE,0,0
32357,PRECHARGE,0,0
32392,ACTIVATE,0,0
32424,READ,0,0
32441,WRITE,0,0
32470,WRITE,0,0
32488,PRECHARGE,0,0
32528,ACTIVATE,0,0
32553,WRITE,0,0
32571,PRECHARGE,0,0
32614,REFRESH,0,0
33071,REFRESH,0,0
33541,REFRESH,0,0
33981,ACTIVATE,0,0
33999,READ,0,0
34028,READ,0,0
34040,READ,0,0
34067,PRECHARGE,0,0
34092,REFRESH,0,0
34512,REFRESH,0,0
34972,ACTIVATE,0,0
34989,WRITE,0,0
35011,WRITE,0,0
35029,READ,0,0
35038,READ,0,0
35045,READ,0,0
35072,PRECHARGE,0,0
35091,REFRESH,0,0
35519,REFRESH,0,0
35940,REFRESH,0,0
36362,REFRESH,0,0
36800,REFRESH,0,0
37231,REFRESH,0,0
37669,ACTIVATE,0,0
37691,WRITE,0,0
37724,READ,0,0
37747,WRITE,0,0
37755,WRITE,0,0
37772,WRITE,0,0
37793,WRITE,0,0
37822,READ,0,0
37841,PRECHARGE,0,0
37873,ACTIVATE,0,0
37913,WRITE,0,0
37942,PRECHARGE,0,0
38004,REFRESH,0,0
38427,ACTIVATE,0,0
38462,WRITE,0,0
38492,READ,0,0
38518,PRECHARGE,0,0
38547,ACTIVATE,0,0
38565,READ,0,0
38599,READ,0,0
38609,READ,0,0
38653,PRECHARGE,0,0
38683,REFRESH,0,0
39116,REFRESH,0,0
39537,REFRESH,0,0
39963,REFRESH,0,0
40409,ACTIVATE,0,0
40448,READ,0,0
40473,READ,0,0
40499,READ,0,0
40516,WRITE,0,0
40523,WRITE,0,0
40561,READ,0,0
40584,WRITE,0,0
40598,READ,0,0
40605,READ,0,0
40624,READ,0,0
40653,PRECHARGE,0,0
40706,ACTIVATE,0,0
40749,READ,0,0
40770,PRECHARGE,0,0
40888,ACTIVATE,0,0
40920,READ,0,0
40936,READ,0,0
40963,READ,0,0
40982,WRITE,0,0
41008,READ,0,0
41025,WRITE,0,0
41044,READ,0,0
41062,READ,0,0
41081,WRITE,0,0
41103,WRITE,0,0
41115,READ,0,0
41150,PRECHARGE,0,0
41203,ACTIVATE,0,0
41244,WRITE,0,0
41257,WRITE,0,0
41272,WRITE,0,0
41283,WRITE,0,0
41302,READ,0,0
41335,WRITE,0,0
41350,READ,0,0
41369,READ,0,0
41405,PRECHARGE,0,0
41425,REFRESH,0,0
41855,ACTIVATE,0,0
41894,WRITE,0,0
41917,WRITE,0,0
41935,READ,0,0
41951,READ,0,0
41972,WRITE,0,0
41998,PRECHARGE,0,0
42031,ACTIVATE,0,0
42082,WRITE,0,0
42100,READ,0,0
42150,PRECHARGE,0,0
42186,REFRESH,0,0
42630,REFRESH,0,0
43066,REFRESH,0,0
43522,ACTIVATE,0,0
43552,WRITE,0,0
43578,READ,0,0
43603,READ,0,0
43611,READ,0,0
43629,READ,0,0
43644,READ,0,0
43665,READ,0,0
43673,READ,0,0
43701,READ,0,0
43718,READ,0,0
43734,READ,0,0
43754,READ,0,0
43788,READ,0,0
43810,PRECHARGE,0,0
43845,ACTIVATE,0,0
43873,WRITE,0,0
43897,WRITE,0,0
43913,READ,0,0
43956,PRECHARGE,0,0
44030,REFRESH,0,0
44566,REFRESH,0,0
44998,REFRESH,0,0
45422,ACTIVATE,0,0
45474,PRECHARGE,0,0
45494,ACTIVATE,0,0
45541,READ,0,0
45547,READ,0,0
45565,WRITE,0,0
45574,WRITE,0,0
45580,WRITE,0,0
45614,WRITE,0,0
45624,WRITE,0,0
45631,WRITE,0,0
45649,WRITE,0,0
45671,PRECHARGE,0,0
45706,ACTIVATE,0,0
45735,WRITE,0,0
45759,WRITE,0,0
45785,WRITE,0,0
45828,READ,0,0
45855,PRECHARGE,0,0
45878,ACTIVATE,0,0
45910,READ,0,0
45931,WRITE,0,0
45948,READ,0,0
45958,READ,0,0
45982,WRITE,0,0
45999,READ,0,0
46016,WRITE,0,0
46041,PRECHARGE,0,0
46066,REFRESH,0,0
46486,REFRESH,0,0
46908,ACTIVATE,0,0
46936,READ,0,0
46959,READ,0,0
47003,WRITE,0,0
47036,READ,0,0
47059,PRECHARGE,0,0
47105,ACTIVATE,0,0
47152,WRITE,0,0
47195,READ,0,0
47212,WRITE,0,0
47240,PRECHARGE,0,0
47286,ACTIVATE,0,0
47318,READ,0,0
47361,PRECHARGE,0,0
47384,ACTIVATE,0,0
47438,WRITE,0,0
47454,READ,0,0
47487,READ,0,0
47494,READ,0,0
47519,WRITE,0,0
47547,READ,0,0
47558,READ,0,0
47575,PRECHARGE,0,0
47611,REFRESH,0,0
48048,REFRESH,0,0
48479,ACTIVATE,0,0
48498,WRITE,0,0
48534,WRITE,0,0
48551,READ,0,0
48573,READ,0,0
48584,READ,0,0
48617,PRECHARGE,0,0
48658,REFRESH,0,0
49078,ACTIVATE,0,0
49102,WRITE,0,0
49123,READ,0,0
49141,READ,0,0
49164,WRITE,0,0
49170,WRITE,0,0
49191,PRECHARGE,0,0
49219,ACTIVATE,0,0
49324,WRITE,0,0
49341,WRITE,0,0
49355,WRITE,0,0
49424,WRITE,0,0
49453,PRECHARGE,0,0
49495,REFRESH,0,0
49918,REFRESH,0,0
50340,REFRESH,0,0
50785,ACTIVATE,0,0
50842,WRITE,0,0
50851,WRITE,0,0
50877,READ,0,0
50930,PRECHARGE,0,0
50948,ACTIVATE,0,0
50973,WRITE,0,0
50983,READ,0,0
51009,PRECHARGE,0,0
51074,REFRESH,0,0
51502,REFRESH,0,0
51939,REFRESH,0,0
52360,ACTIVATE,0,0
52379,WRITE,0,0
52395,READ,0,0
52445,WRITE,0,0
52456,WRITE,0,0
52477,PRECHARGE,0,0
52505,REFRESH,0,0
52933,REFRESH,0,0
53355,ACTIVATE,0,0
53373,READ,0,0
53388,READ,0,0
53398,READ,0,0
53418,READ,0,0
53439,PRECHARGE,0,0
53522,REFRESH,0,0
53942,ACTIVATE,0,0
53972,READ,0,0
53988,READ,0,0
54018,WRITE,0,0
54042,WRITE,0,0
54057,READ,0,0
54076,WRITE,0,0
54094,WRITE,0,0
54102,WRITE,0,0
54120,PRECHARGE,0,0
54165,REFRESH,0,0
54637,REFRESH,0,0
55196,REFRESH,0,0
55620,ACTIVATE,0,0
55651,WRITE,0,0
55663,WRITE,0,0
55682,READ,0,0
55695,READ,0,0
55722,WRITE,0,0
55744,WRITE,0,0
55769,WRITE,0,0
55801,READ,0,0
55820,PRECHARGE,0,0
55854,ACTIVATE,0,0
55897,READ,0,0
55919,READ,0,0
55943,WRITE,0,0
55979,READ,0,0
56004,READ,0,0
56038,READ,0,0
56050,READ,0,0
56067,WRITE,0,0
56101,READ,0,0
56118,PRECHARGE,0,0
56149,REFRESH,0,0
56591,ACTIVATE,0,0
56614,WRITE,0,0
56633,READ,0,0
56652,WRITE,0,0
56683,WRITE,0,0
56733,READ,0,0
56750,READ,0,0
56789,WRITE,0,0
56839,WRITE,0,0
56881,READ,0,0
56934,READ,0,0
56954,WRITE,0,0
56963,READ,0,0
56980,READ,0,0
57017,READ,0,0
57036,READ,0,0
57053,PRECHARGE,0,0
57081,REFRESH,0,0
57502,REFRESH,0,0
57961,REFRESH,0,0
58407,ACTIVATE,0,0
58445,READ,0,0
58483,WRITE,0,0
58502,PRECHARGE,0,0
58578,ACTIVATE,0,0
58617,READ,0,0
58660,WRITE,0,0
58693,READ,0,0
58699,READ,0,0
58715,READ,0,0
58753,PRECHARGE,0,0
58869,REFRESH,0,0
59311,ACTIVATE,0,0
59330,READ,0,0
59359,WRITE,0,0
59446,PRECHARGE,0,0
59483,ACTIVATE,0,0
59526,READ,0,0
59536,READ,0,0
59584,WRITE,0,0
59601,WRITE,0,0
59627,WRITE,0,0
59656,READ,0,0
59662,READ,0,0
59668,READ,0,0
59694,READ,0,0
59708,READ,0,0
59731,PRECHARGE,0,0
59759,REFRESH,0,0
60186,ACTIVATE,0,0
60230,WRITE,0,0
60239,READ,0,0
60265,READ,0,0
60309,READ,0,0
60333,WRITE,0,0
60350,WRITE,0,0
60377,PRECHARGE,0,0
60451,REFRESH,0,0
60878,ACTIVATE,0,0
60920,READ,0,0
60940,READ,0,0
60968,WRITE,0,0
60995,READ,0,0
61041,PRECHARGE,0,0
61075,ACTIVATE,0,0
61100,READ,0,0
61117,WRITE,0,0
61149,PRECHARGE,0,0
61175,ACTIVATE,0,0
61195,READ,0,0
61213,WRITE,0,0
61223,READ,0,0
61242,READ,0,0
61269,PRECHARGE,0,0
61288,ACTIVATE,0,0
61319,READ,0,0
61339,WRITE,0,0
61349,WRITE,0,0
61371,WRITE,0,0
61397,PRECHARGE,0,0
61488,ACTIVATE,0,0
61518,WRITE,0,0
61527,READ,0,0
61540,READ,0,0
61578,WRITE,0,0
61614,PRECHARGE,0,0
61631,REFRESH,0,0
62059,ACTIVATE,0,0
62104,PRECHARGE,0,0
62123,ACTIVATE,0,0
62148,WRITE,0,0
62168,READ,0,0
62196,READ,0,0
62230,READ,0,0
62313,READ,0,0
62352,WRITE,0,0
62376,READ,0,0
62385,READ,0,0
62400,READ,0,0
62454,READ,0,0
62480,PRECHARGE,0,0
62502,ACTIVATE,0,0
62546,WRITE,0,0
62575,WRITE,0,0
62590,READ,0,0
62599,READ,0,0
62616,READ,0,0
62682,WRITE,0,0
62697,READ,0,0
62726,WRITE,0,0
62795,WRITE,0,0
62816,READ,0,0
62840,PRECHARGE,0,0
62866,ACTIVATE,0,0
62902,READ,0,0
62919,WRITE,0,0
62925,WRITE,0,0
62945,PRECHARGE,0,0
62977,REFRESH,0,0
63405,REFRESH,0,0
63825,ACTIVATE,0,0
63879,PRECHARGE,0,0
63928,ACTIVATE,0,0
63960,WRITE,0,0
63972,WRITE,0,0
63990,WRITE,0,0
64018,WRITE,0,0
64038,PRECHARGE,0,0
64066,REFRESH,0,0
64529,REFRESH,0,0
64965,ACTIVATE,0,0
65006,READ,0,0
65015,READ,0,0
65038,WRITE,0,0
65089,READ,0,0
65115,READ,0,0
65156,PRECHARGE,0,0
65188,ACTIVATE,0,0
65218,READ,0,0
65228,READ,0,0
65261,PRECHARGE,0,0
65281,ACTIVATE,0,0
65313,READ,0,0
65333,WRITE,0,0
65369,READ,0,0
65399,WRITE,0,0
65430,WRITE,0,0
65441,READ,0,0
65451,READ,0,0
65465,READ,0,0
65488,PRECHARGE,0,0
65519,ACTIVATE,0,0
65548,WRITE,0,0
65651,READ,0,0
65684,READ,0,0
65707,PRECHARGE,0,0
65746,REFRESH,0,0
66179,REFRESH,0,0
66605,ACTIVATE,0,0
66628,READ,0,0
66653,PRECHARGE,0,0
66689,ACTIVATE,0,0
66713,READ,0,0
66727,READ,0,0
66758,WRITE,0,0
66768,WRITE,0,0
66782,WRITE,0,0
66803,PRECHARGE,0,0
66828,ACTIVATE,0,0
66880,READ,0,0
66934,PRECHARGE,0,0
66972,ACTIVATE,0,0
67029,WRITE,0,0
67045,READ,0,0
67063,PRECHARGE,0,0
67092,REFRESH,0,0
67569,REFRESH,0,0
68023,ACTIVATE,0,0
68054,WRITE,0,0
68080,READ,0,0
68111,READ,0,0
68130,PRECHARGE,0,0
68156,ACTIVATE,0,0
68189,READ,0,0
68196,READ,0,0
68213,READ,0,0
68246,PRECHARGE,0,0
68267,ACTIVATE,0,0
68308,READ,0,0
68341,WRITE,0,0
68353,READ,0,0
68371,PRECHARGE,0,0
68397,REFRESH,0,0
68832,ACTIVATE,0,0
68853,WRITE,0,0
68883,PRECHARGE,0,0
68905,REFRESH,0,0
69330,REFRESH,0,0
69763,ACTIVATE,0,0
69781,READ,0,0
69826,PRECHARGE,0,0
69854,ACTIVATE,0,0
69881,READ,0,0
69896,READ,0,0
69932,WRITE,0,0
69945,WRITE,0,0
69971,WRITE,0,0
69992,WRITE,0,0
70031,WRITE,0,0
70051,WRITE,0,0
70077,PRECHARGE,0,0
70104,REFRESH,0,0
70554,ACTIVATE,0,0
70589,WRITE,0,0
70608,READ,0,0
70626,PRECHARGE,0,0
70645,REFRESH,0,0
71099,ACTIVATE,0,0
71137,WRITE,0,0
71144,WRITE,0,0
71170,READ,0,0
71200,WRITE,0,0
71209,WRITE,0,0
71228,WRITE,0,0
71259,WRITE,0,0
71276,READ,0,0
71302,READ,0,0
71319,WRITE,0,0
71331,READ,0,0
71375,WRITE,0,0
71393,PRECHARGE,0,0
71414,ACTIVATE,0,0
71458,PRECHARGE,0,0
71491,ACTIVATE,0,0
71535,WRITE,0,0
71554,WRITE,0,0
71568,WRITE,0,0
71596,WRITE,0,0
71614,READ,0,0
71658,PRECHARGE,0,0
71685,REFRESH,0,0
72126,REFRESH,0,0
72553,REFRESH,0,0
72974,ACTIVATE,0,0
73013,READ,0,0
73040,PRECHARGE,0,0
73057,REFRESH,0,0
73494,REFRESH,0,0
73917,REFRESH,0,0
74340,REFRESH,0,0
74867,REFRESH,0,0
75295,REFRESH,0,0
75733,ACTIVATE,0,0
75791,WRITE,0,0
75822,READ,0,0
75837,READ,0,0
75896,PRECHARGE,0,0
75915,REFRESH,0,0
76353,ACTIVATE,0,0
76370,READ,0,0
76393,WRITE,0,0
76404,WRITE,0,0
76437,WRITE,0,0
76457,PRECHARGE,0,0
76485,REFRESH,0,0
76919,ACTIVATE,0,0
76947,WRITE,0,0
76968,PRECHARGE,0,0
76993,REFRESH,0,0
77426,REFRESH,0,0
77892,REFRESH,0,0
78315,REFRESH,0,0
78747,REFRESH,0,0
79170,ACTIVATE,0,0
79240,WRITE,0,0
79256,WRITE,0,0
79269,READ,0,0
79337,WRITE,0,0
79354,READ,0,0
79383,PRECHARGE,0,0
79423,ACTIVATE,0,0
79444,WRITE,0,0
79463,READ,0,0
79480,PRECHARGE,0,0
79507,ACTIVATE,0,0
79526,READ,0,0
79537,READ,0,0
79543,READ,0,0
79569,PRECHARGE,0,0
79615,REFRESH,0,0
80069,REFRESH,0,0
80504,REFRESH,0,0
80936,ACTIVATE,0,0
80986,PRECHARGE,0,0
81015,REFRESH,0,0
81440,REFRESH,0,0
81873,ACTIVATE,0,0
81904,WRITE,0,0
81937,WRITE,0,0
81969,PRECHARGE,0,0
81994,ACTIVATE,0,0
82018,WRITE,0,0
82042,PRECHARGE,0,0
82075,REFRESH,0,0
82500,ACTIVATE,0,0
82521,READ,0,0
82540,READ,0,0
82592,PRECHARGE,0,0
82640,ACTIVATE,0,0
82689,WRITE,0,0
82703,READ,0,0
82743,WRITE,0,0
82756,READ,0,0
82762,READ,0,0
82780,PRECHARGE,0,0
82808,ACTIVATE,0,0
82848,READ,0,0
82885,READ,0,0
82896,READ,0,0
82937,READ,0,0
82966,READ,0,0
82976,READ,0,0
83016,WRITE,0,0
83032,WRITE,0,0
83054,WRITE,0,0
83077,WRITE,0,0
83111,PRECHARGE,0,0
83138,ACTIVATE,0,0
83176,WRITE,0,0
83198,READ,0,0
83247,READ,0,0
83303,PRECHARGE,0,0
83332,REFRESH,0,0
83762,REFRESH,0,0
84276,REFRESH,0,0
84747,REFRESH,0,0
85203,REFRESH,0,0
85633,REFRESH,0,0
86065,ACTIVATE,0,0
86107,WRITE,0,0
86123,READ,0,0
86161,READ,0,0
86181,WRITE,0,0
86207,READ,0,0
86216,READ,0,0
86229,READ,0,0
86258,READ,0,0
86267,READ,0,0
86284,PRECHARGE,0,0
86307,REFRESH,0,0
86745,ACTIVATE,0,0
86768,WRITE,0,0
86783,READ,0,0
86801,WRITE,0,0
86811,WRITE,0,0
86852,READ,0,0
86899,WRITE,0,0
86913,WRITE,0,0
86924,WRITE,0,0
86961,WRITE,0,0
86998,WRITE,0,0
87018,READ,0,0
87027,READ,0,0
87048,PRECHARGE,0,0
87074,REFRESH,0,0
87498,ACTIVATE,0,0
87535,READ,0,0
87554,PRECHARGE,0,0
87574,ACTIVATE,0,0
87667,PRECHARGE,0,0
87706,REFRESH,0,0
88130,REFRESH,0,0
88553,ACTIVATE,0,0
88575,READ,0,0
88607,READ,0,0
88624,READ,0,0
88639,READ,0,0
88680,WRITE,0,0
88691,READ,0,0
88710,READ,0,0
88718,READ,0,0
88754,WRITE,0,0
88810,READ,0,0
88823,READ,0,0
88845,PRECHARGE,0,0
88872,ACTIVATE,0,0
88889,WRITE,0,0
88915,READ,0,0
88935,WRITE,0,0
88980,PRECHARGE,0,0
89012,ACTIVATE,0,0
89038,WRITE,0,0
89066,WRITE,0,0
89072,WRITE,0,0
89089,WRITE,0,0
89101,READ,0,0
89136,PRECHARGE,0,0
89153,REFRESH,0,0
89590,REFRESH,0,0
90025,ACTIVATE,0,0
90073,READ,0,0
90102,WRITE,0,0
90119,READ,0,0
90140,PRECHARGE,0,0
90178,REFRESH,0,0
90628,ACTIVATE,0,0
90651,READ,0,0
90668,WRITE,0,0
90704,WRITE,0,0
90733,PRECHARGE,0,0
90752,ACTIVATE,0,0
90777,WRITE,0,0
90820,PRECHARGE,0,0
90838,REFRESH,0,0
91268,REFRESH,0,0
91695,ACTIVATE,0,0
91741,PRECHARGE,0,0
91760,ACTIVATE,0,0
91806,READ,0,0
91829,WRITE,0,0
91848,WRITE,0,0
91905,PRECHARGE,0,0
91983,ACTIVATE,0,0
92009,READ,0,0
92050,READ,0,0
92077,WRITE,0,0
92096,READ,0,0
92113,PRECHARGE,0,0
92135,ACTIVATE,0,0
92166,READ,0,0
92196,PRECHARGE,0,0
92236,ACTIVATE,0,0
92298,READ,0,0
92317,PRECHARGE,0,0
92362,REFRESH,0,0
92787,ACTIVATE,0,0
92823,WRITE,0,0
92852,WRITE,0,0
92867,READ,0,0
92886,READ,0,0
92912,WRITE,0,0
92935,READ,0,0
93002,WRITE,0,0
93036,WRITE,0,0
93054,READ,0,0
93061,READ,0,0
93070,READ,0,0
93112,WRITE,0,0
93142,WRITE,0,0
93175,READ,0,0
93242,WRITE,0,0
93274,WRITE,0,0
93288,READ,0,0
93299,READ,0,0
93336,PRECHARGE,0,0
93362,ACTIVATE,0,0
93401,WRITE,0,0
93416,WRITE,0,0
93436,READ,0,0
93456,WRITE,0,0
93491,READ,0,0
93499,READ,0,0
93514,READ,0,0
93551,WRITE,0,0
93570,PRECHARGE,0,0
93587,ACTIVATE,0,0
93619,WRITE,0,0
93639,READ,0,0
93669,READ,0,0
93684,READ,0,0
93703,READ,0,0
93710,READ,0,0
93745,PRECHARGE,0,0
93764,REFRESH,0,0
94187,REFRESH,0,0
94607,REFRESH,0,0
95042,REFRESH,0,0
95543,ACTIVATE,0,0
95598,READ,0,0
95615,READ,0,0
95632,READ,0,0
95662,WRITE,0,0
95681,WRITE,0,0
95699,PRECHARGE,0,0
95843,ACTIVATE,0,0
95868,WRITE,0,0
95886,READ,0,0
95893,READ,0,0
95914,WRITE,0,0
95922,WRITE,0,0
95963,PRECHARGE,0,0
96012,REFRESH,0,0
96438,ACTIVATE,0,0
96475,WRITE,0,0
96521,PRECHARGE,0,0
96544,ACTIVATE,0,0
96578,WRITE,0,0
96612,WRITE,0,0
96636,WRITE,0,0
96654,PRECHARGE,0,0
96693,ACTIVATE,0,0
96714,READ,0,0
96735,READ,0,0
96750,READ,0,0
96851,WRITE,0,0
96862,WRITE,0,0
96890,PRECHARGE,0,0
96916,ACTIVATE,0,0
96941,READ,0,0
96956,READ,0,0
96982,READ,0,0
97006,WRITE,0,0
97030,WRITE,0,0
97038,WRITE,0,0
97061,PRECHARGE,0,0
97120,ACTIVATE,0,0
97151,READ,0,0
97169,READ,0,0
97184,READ,0,0
97218,READ,0,0
97263,READ,0,0
97283,READ,0,0
97308,READ,0,0
97346,READ,0,0
97368,PRECHARGE,0,0
97386,REFRESH,0,0
97814,REFRESH,0,0
98238,ACTIVATE,0,0
98255,WRITE,0,0
98279,WRITE,0,0
98303,PRECHARGE,0,0
98334,ACTIVATE,0,0
98372,READ,0,0
98390,WRITE,0,0
98406,WRITE,0,0
98418,WRITE,0,0
98426,WRITE,0,0
98446,WRITE,0,0
98473,WRITE,0,0
98491,PRECHARGE,0,0
98510,REFRESH,0,0
98934,REFRESH,0,0
99410,REFRESH,0,0
99847,ACTIVATE,0,0
99881,READ,0,0
99916,PRECHARGE,0,0
99944,REFRESH,0,0
100392,ACTIVATE,0,0
100422,READ,0,0
100441,READ,0,0
100479,READ,0,0
100488,READ,0,0
100506,WRITE,0,0
100537,PRECHARGE,0,0
100576,ACTIVATE,0,0
100625,PRECHARGE,0,0
100647,REFRESH,0,0
